CONJ_CODIGO,CONJ_NOME,alimentadores,empreendimentos_mmgd,potencia_kw_mmgd,potencia_kw_bdgd_total,kVA_instalado_total,penetracao_gd_pct,fonte_predominante
15030,LEOPOLDO AEREO,15,430,3346.2900000000004,3458.443,89090.0,3.7560781232461564,UFV — Radiação solar
15055,BOCA DO MATO AEREO,15,464,3321.8999999999996,3352.37,108942.5,3.049223214080822,UFV — Radiação solar
15060,ITAPEBA SUBTERRANEO,3,289,3314.01,3354.49,30737.5,10.781651077673851,UFV — Radiação solar
15005,ELDORADO,3,81,3109.02,6077.651000000001,47132.5,6.596340105023073,UFV — Radiação solar
15697,MARAPICU,9,164,3060.9500000000003,3154.67,77902.5,3.929206379769584,UFV — Radiação solar
15033,ALDEIA CAMPISTA,22,385,2787.2599999999998,4545.334,100902.5,2.762329972002676,UFV — Radiação solar
15082,SANTA CECILIA AEREO AT/MT,2,302,2758.42,3883.7799999999997,87237.5,3.1619658976930793,UFV — Radiação solar
15056,DEMOCRATICOS AEREO,13,194,2753.56,2974.88,82450.0,3.3396725288053366,UFV — Radiação solar
15017,BRAS DE PINA,16,206,2676.95,3652.5849999999996,82087.5,3.261093345515456,UFV — Radiação solar
15036,GUADALUPE AEREO,19,269,2637.84,2707.3199999999997,117995.0,2.2355523539133015,UFV — Radiação solar
15693,ROCHA FREIRE AEREO AT/MT,5,220,2634.1599999999994,4944.951,143787.5,1.831981222289837,UFV — Radiação solar
15025,URUGUAI AEREO,14,348,2568.2,2628.6499999999996,91905.0,2.794407268374952,UFV — Radiação solar
15024,TRIAGEM AEREO,17,129,2527.4700000000003,2923.575,84095.0,3.005493786788751,UFV — Radiação solar
15047,CAMPO MARTE AEREO,23,114,2382.04,2425.8900000000003,61597.5,3.8671049961443242,UFV — Radiação solar
15015,RAMOS AEREO,14,131,2259.0,2358.286,88787.5,2.544277066028439,UFV — Radiação solar
15020,TROVAO AEREO,13,132,2108.96,2822.102,82657.5,2.551444212563893,UFV — Radiação solar
15064,BOTAFOGO SUBTERRANEO,25,155,2001.79,2085.22,86825.0,2.3055456377771377,UFV — Radiação solar
15053,SAO CONRADO AEREO,12,146,1739.05,1845.6,59742.5,2.910909319161401,UFV — Radiação solar
15699,SAO JOAO,10,167,1723.1200000000001,1742.17,64875.0,2.656061657032755,UFV — Radiação solar
15049,FREI CANECA AEREO,59,132,1702.08,1720.9099999999999,201832.5,0.8433131433242912,UFV — Radiação solar
14992,LEBLON,31,182,1519.59,1582.74,139090.0,1.0925228269465814,UFV — Radiação solar
15063,BAEPENDI SUBTERRANEO,34,172,1435.88,1438.28,141797.5,1.0126271619739418,UFV — Radiação solar
15044,TERRA NOVA AEREO,14,113,1416.47,1534.4699999999998,93462.5,1.515549016985422,UFV — Radiação solar
15690,BARRA SUBTERRANEO,9,111,1353.7599999999998,1385.1499999999999,27437.5,4.933977220956719,UFV — Radiação solar
15075,POSTO SEIS SUBTERRANEO,33,148,1322.69,1348.9299999999998,183410.0,0.7211656943460008,UFV — Radiação solar
15696,ZONA INDUSTRIAL,8,57,1278.8899999999999,1360.692,32072.5,3.9874970769350684,UFV — Radiação solar
15026,BAEPENDI AEREO,5,152,1020.55,1200.391,22777.5,4.480518055098233,UFV — Radiação solar
15072,VILAR DOS TELES AEREO,10,90,992.8399999999999,1013.6799999999998,71347.5,1.3915554153964749,UFV — Radiação solar
15059,HUMAITA SUBTERRANEO,10,103,944.95,880.72,42732.5,2.2113145732171064,UFV — Radiação solar
15012,COPACABANA,25,87,810.5899999999999,843.79,140620.0,0.5764400512018204,UFV — Radiação solar
15016,SANTA LUZIA,27,8,762.88,987.88,112240.0,0.6796863863150392,UFV — Radiação solar
15076,SAMARITANO SUBTERRANEO,16,96,656.01,687.34,80962.5,0.8102640111162576,UFV — Radiação solar
15022,HUMAITA AEREO,3,74,588.44,642.1500000000001,19115.0,3.0784200889353914,UFV — Radiação solar
15083,SANTO ANTONIO SUBTERRANEO,56,17,563.24,603.24,171960.0,0.3275412886717841,UFV — Radiação solar
15067,BOTAFOGO AEREO URBANO,4,67,446.95,500.16,17825.0,2.5074333800841515,UFV — Radiação solar
15079,SAO CONRADO SUBTERRANEO,5,20,355.28,355.28,21100.0,1.6837914691943128,UFV — Radiação solar
15068,CAMERINO AEREO URBANO,2,10,225.27999999999997,255.27999999999997,10640.0,2.1172932330827066,UFV — Radiação solar
15008,MACKENZIE,29,8,209.63,280.96000000000004,123837.5,0.16927828807913597,UFV — Radiação solar
15065,CAMERINO SUBTERRANEO,47,15,205.94,208.14000000000001,134265.0,0.15338323464789783,UFV — Radiação solar
15078,SAMARITANO AEREO URBANO,1,24,167.83,167.83,5477.5,3.063989046097672,UFV — Radiação solar
15041,LEME SUBTERRANEO,12,20,147.79000000000002,147.79000000000002,53805.0,0.27467707462131774,UFV — Radiação solar
15085,SANTO ANTONIO AEREO URBANO,1,16,104.74000000000001,109.54,4445.0,2.356355455568054,UFV — Radiação solar
15050,LEME AEREO URBANO,1,5,49.5,49.5,7275.0,0.6804123711340206,UFV — Radiação solar
15077,POSTO SEIS AEREO URBANO,1,2,22.29,22.29,4462.5,0.4994957983193277,UFV — Radiação solar
