grupo,caso,instante,hora,convergiu_sem_gd,status_sem_gd,vmax_sem_gd_pu,barra_vmax_sem_gd,barras_mt_acima_1_05_sem_gd,sentido_sem_gd,kw_fonte_sem_gd,perdas_sem_gd_kw,potencia_sem_gd_kw,ajustes_sem_gd,convergiu_com_gd,status_com_gd,vmax_com_gd_pu,barra_vmax_com_gd,barras_mt_acima_1_05_com_gd,sentido_com_gd,kw_fonte_com_gd,perdas_com_gd_kw,potencia_com_gd_kw,ajustes_com_gd,delta_vmax_pu,delta_barras_mt_acima_1_05,delta_kw_fonte,delta_perdas_kw,comparacao_valida
alimentador,PTS9924,ponta_noite,19,True,ok,1.0449998790502273,11309683_2,0,SE→rede,551.0432734640887,32.81748501838402,551.0432734640887,vminpu=0.9,True,ok,1.0449998791865673,11309683_2,0,SE→rede,548.5261110919517,32.80393967087859,548.5261110919517,vminpu=0.9,1.3634005036067265e-10,0,-2.5171623721369087,-0.013545347505427685,True
alimentador,PTS4022,madrugada,2,True,ok,1.0449997992811646,pts4022_mt_51335,0,SE→rede,825.0630567385448,0.6991563207481046,825.0630567385448,,True,ok,1.0449997993907398,pts4022_mt_51335,0,SE→rede,821.9862132180696,0.6946670023564736,821.9862132180696,,1.0957523777221923e-10,0,-3.0768435204752222,-0.004489318391631025,True
alimentador,PTS4022,meio_dia,12,True,ok,1.0449997147933772,pts4022_mt_51335,0,SE→rede,1171.1465501947778,1.6315477346511156,1171.1465501947778,,True,ok,1.0449997147978023,pts4022_mt_51335,0,SE→rede,1146.9573255360913,1.5780603256421313,1146.9573255360913,,4.425126931550949e-12,0,-24.1892246586865,-0.0534874090089843,True
alimentador,PTS4022,ponta_noite,19,True,ok,1.0449997478550754,pts4022_mt_51335,0,SE→rede,1035.5508724467788,1.2096502591214913,1035.5508724467788,,True,ok,1.0449997478866884,pts4022_mt_51335,0,SE→rede,1032.4733406982816,1.203732010228476,1032.4733406982816,,3.161293449238656e-11,0,-3.077531748497222,-0.005918248893015177,True
alimentador,GDN0022,madrugada,2,True,ok,1.0449999877347884,gdn0022_mt_52909,0,SE→rede,45.44878869947938,1.311260776621678,45.44878869947938,,True,ok,1.044999987884048,gdn0022_mt_52909,0,SE→rede,43.97912775917462,1.248113209393955,43.97912775917462,,1.4925949365363067e-10,0,-1.4696609403047631,-0.06314756722772286,True
alimentador,GDN0022,meio_dia,12,True,ok,1.044999962145907,gdn0022_mt_52909,0,SE→rede,105.96812089214396,7.38899172477089,105.96812089214396,,True,ok,1.0449999707588016,gdn0022_mt_52909,0,SE→rede,66.3389522971002,3.463021570391316,66.3389522971002,,8.612894619730582e-09,0,-39.62916859504375,-3.9259701543795744,True
alimentador,GDN0022,ponta_noite,19,True,ok,1.0449999733232247,gdn0022_mt_52909,0,SE→rede,82.62607047202705,4.313192286177003,82.62607047202705,,True,ok,1.0449999736228213,gdn0022_mt_52909,0,SE→rede,81.14981562928122,4.183418319002443,81.14981562928122,,2.995965697749625e-10,0,-1.4762548427458313,-0.12977396717456013,True
alimentador,TRS003,madrugada,2,True,ok,1.0450008545805214,trs003_mt_52975,0,SE→rede,2004.1459019671631,72.17570615219383,2004.1459019671631,,True,ok,1.0450899570853562,trs003_mt_367535,0,SE→rede,0.0006208700089653066,35.90952085037942,0.0006208700089653066,,8.910250483484816e-05,0,-2004.145281097154,-36.2661853018144,True
alimentador,TRS003,meio_dia,12,True,ok,1.0450007789628708,trs003_mt_52975,0,SE→rede,2447.7847094824783,96.78687278963075,2447.7847094824783,,True,ok,1.0450007401788506,trs003_mt_52975,0,SE→rede,450.16064036188936,96.4684736461875,450.16064036188936,,-3.8784020217619286e-08,0,-1997.624069120589,-0.31839914344324427,True
alimentador,TRS003,ponta_noite,19,True,ok,1.045000758369784,trs003_mt_52975,0,SE→rede,2403.8985059034035,92.60807620367726,2403.8985059034035,,True,ok,1.0450899570853562,trs003_mt_367535,0,SE→rede,0.0006208700089653066,35.90952085037942,0.0006208700089653066,,8.919871557222514e-05,0,-2403.8978850333947,-56.698555353297834,True
