COD_ID,NOME,SUB,SUB_NOME,MUN,CONJ_CODIGO,CONJ_NOME,kVA_instalado,kW_DER,n_DER,empreendimentos_mmgd,potencia_kw_mmgd,potencia_kw_bdgd_mesmas_chaves,diferenca_kw_mmgd_menos_bdgd_mesmas_chaves,diferenca_kw_mmgd_menos_bdgd_total,penetracao_gd_pct,cobertura_vs_bdgd_pct,fonte_predominante,classe_predominante,subgrupo_predominante,periodo_primeira_data,periodo_ultima_data
VRD021,LSA VOTORANTIM,18520470,SETD VOLTA REDONDA,3306305,15086,VOLTA REDONDA AEREO MT/MT,29525.0,7558.68,212,207,7431.1900000000005,7440.680000000001,-9.490000000000691,-127.49,25.16914479254869,98.31332984066,UFV — Radiação solar,Comercial (CO),A4,2019-06-06,2025-12-22
CEN006,LSA SAO ROQUE,18520353,SETD CENTENARIO,3306206,15089,CENTENARIO AEREO MT/MT,23737.5,12472.165,76,72,7323.91,7326.41,-2.5,-5148.255,30.853754607688256,58.7220422436682,UFV — Radiação solar,Comercial (CO),A4,2020-02-13,2025-11-30
SPC001,LSA PORTONOVO,18520614,SETD SAPUCAIA,3305406,15091,SAPUCAIA,51540.0,7767.95,174,162,6134.73,6074.75,59.97999999999956,-1633.22,11.902852153667055,78.97489041510309,UFV — Radiação solar,Comercial (CO),A4,2019-09-26,2025-12-10
INF0005,LSA JACUBA,449886789,SETD INFLUENCIA,3301207,15091,SAPUCAIA,15115.0,6107.323,136,132,5875.16,5883.66,-8.5,-232.163,38.86973205425075,96.19861271460506,UFV — Radiação solar,Comercial (CO),A4,2019-02-05,2025-12-31
CEN004,LSA CARVALHEIRA,18520353,SETD CENTENARIO,3306206,15074,CENTENARIO AEREO AT/MT,49190.0,5756.929,257,243,5198.959999999999,5209.51,-10.550000000001091,-557.969,10.569140069119737,90.30787074150122,UFV — Radiação solar,Comercial (CO),A4,2017-05-19,2025-12-16
VIG001,LSA PADILHA,18520371,SETD VIGARIO,3304003,15003,VIGARIO,26602.5,10139.4,120,109,5035.72,5039.6,-3.880000000000109,-5103.68,18.929499107226764,49.66487168866008,UFV — Radiação solar,Comercial (CO),A4,2019-08-05,2025-12-16
CEN005,LSA MATACAES,18520353,SETD CENTENARIO,3306206,15089,CENTENARIO AEREO MT/MT,48755.0,8483.411,173,165,4656.37,4668.79,-12.420000000000073,-3827.041,9.550548661675725,54.88794542666859,UFV — Radiação solar,Comercial (CO),A4,2019-04-10,2025-11-30
SRD0005,LSA RODUTRA,18521154,SETD SEROPEDICA,3305554,15043,SEROPEDICA AEREO,46732.5,4999.64,112,105,4610.97,4643.97,-33.0,-388.67,9.866730861819933,92.22604027489979,UFV — Radiação solar,Comercial (CO),A4,2019-04-29,2025-12-11
VRD015,LSA JAPUIRA,18520470,SETD VOLTA REDONDA,3306305,15086,VOLTA REDONDA AEREO MT/MT,34567.5,4696.298,89,86,4495.97,4498.849999999999,-2.8799999999991996,-200.328,13.006349895132711,95.73434224148468,UFV — Radiação solar,Comercial (CO),A4,2019-07-29,2025-11-30
ESP018,LSA FRAMBEL,18519958,SETD ESPERANCA,3304557,15070,ESPERANCA AEREO MT/MT,30350.0,6060.702,131,120,4383.65,4384.67,-1.0200000000004366,-1677.052,14.443657331136736,72.3290800306631,UFV — Radiação solar,Comercial (CO),A4,2019-06-05,2025-12-15
SCI007,LSA FACULDADE,18520299,SETD SANTA CECILIA,3300308,15090,SANTA CECILIA AEREO MT/MT,52500.0,5640.38,190,176,4342.93,4384.63,-41.69999999999982,-1297.45,8.272247619047619,76.99711721550676,UFV — Radiação solar,Comercial (CO),A4,2018-06-29,2025-11-30
TRS002,LDA PASSATEMPO,18520326,SETD TRES RIOS,3306008,15087,TRES RIOS AEREO AT/MT,8302.5,4105.02,52,51,4102.0199999999995,4102.0199999999995,0.0,-3.0,49.407046070460694,99.9269187482643,UFV — Radiação solar,Comercial (CO),A4,2021-04-07,2025-09-16
SRD001,LSA INVERNADA,18521154,SETD SEROPEDICA,3305554,15043,SEROPEDICA AEREO,63637.5,5443.823,360,344,3960.74,3960.7799999999997,-0.03999999999996362,-1483.083,6.223908858770379,72.7565903593853,UFV — Radiação solar,Residencial (RE),B1,2017-09-26,2025-12-16
MTO00004,LSA CETEX,29148432,SETD MATO ALTO,3304557,16898,MATO ALTO,41017.5,4393.568,321,312,3910.22,3936.61,-26.390000000000327,-483.348,9.533052965197781,88.99873633456907,UFV — Radiação solar,Residencial (RE),B1,2019-03-20,2025-12-22
AVD30081,LDS 30081/LRA INTERLAGOS/LRA RIOMAR,10385943,SETD ALVORADA,3304557,15004,ALVORADA,11015.0,3819.38,385,382,3746.02,3726.38,19.639999999999873,-73.36,34.008352246936,98.07926941021842,UFV — Radiação solar,Residencial (RE),B1,2017-08-02,2025-12-31
SCI008,LSA CARTONAGEM,18520299,SETD SANTA CECILIA,3300308,15090,SANTA CECILIA AEREO MT/MT,16937.5,4737.95,35,34,3737.95,3737.95,0.0,-1000.0,22.06907749077491,78.89382538861744,UFV — Radiação solar,Industrial (IN),A4,2020-01-09,2025-11-11
SPC002,LSA SAPUSUL,18520614,SETD SAPUCAIA,3305406,15091,SAPUCAIA,16817.5,5938.27,90,81,3597.92,3597.92,0.0,-2340.35,21.393905158317228,60.58868997199521,UFV — Radiação solar,Comercial (CO),A4,2019-11-29,2025-12-31
FND3262,LDA AREIA,1222,SETD FUNDAO,3304557,15040,GOVERNADOR AEREO,26997.5,3763.13,420,416,3391.24,3715.13,-323.8900000000003,-371.89,12.561311232521529,90.11753513697374,UFV — Radiação solar,Residencial (RE),B1,2018-12-11,2025-12-31
SCI005,LSA CANTEIRO,18520299,SETD SANTA CECILIA,3300308,15090,SANTA CECILIA AEREO MT/MT,19635.0,3304.646,53,50,3128.63,3144.79,-16.159999999999854,-176.016,15.933944486885663,94.67368063023997,UFV — Radiação solar,Comercial (CO),A4,2020-04-29,2025-12-06
VRD010,LDA CICUTA,18520470,SETD VOLTA REDONDA,3306305,15084,VOLTA REDONDA AEREO AT/MT,15270.0,3090.7,499,491,3018.5,3024.76,-6.260000000000218,-72.2,19.767518009168302,97.66395962079788,UFV — Radiação solar,Residencial (RE),B1,2019-01-16,2025-12-17
SCI002,LSA INDUSTRIAL,18520299,SETD SANTA CECILIA,3300308,15090,SANTA CECILIA AEREO MT/MT,0.0,3168.23,3,1,3000.0,3000.0,0.0,-168.23,0.0,94.69009510041884,UFV — Radiação solar,Comercial (CO),A4,2025-01-24,2025-01-24
ELD001,LSA CAPIVARI I,18521352,SETD ELDORADO,3301702,15005,ELDORADO,42947.5,5333.551,81,72,2882.98,2911.3100000000004,-28.330000000000382,-2450.571,6.712800512253333,54.053668934636605,UFV — Radiação solar,Comercial (CO),A4,2019-09-19,2025-12-31
TRS010,LSA TRIANOVA,18520326,SETD TRES RIOS,3306008,15088,TRES RIOS AEREO MT/MT,13592.5,2981.389,65,63,2806.4300000000003,2812.9300000000003,-6.5,-174.959,20.646900864447307,94.13162790900482,UFV — Radiação solar,Comercial (CO),A4,2019-11-29,2025-12-16
REC0001,LDA RIOMORTO,132097219,SETD RECREIO,3304557,14999,RECREIO,17892.5,2829.99,366,358,2737.6,2744.59,-6.9900000000002365,-92.39,15.300265474360765,96.73532415308888,UFV — Radiação solar,Residencial (RE),B1,2016-09-06,2025-11-30
VRD017,LSA METALURGICA,18520470,SETD VOLTA REDONDA,3306305,15086,VOLTA REDONDA AEREO MT/MT,54055.0,16094.023,185,180,2731.05,2738.05,-7.0,-13362.973,5.052354083803533,16.969343215179947,UFV — Radiação solar,Residencial (RE),B1,2019-07-31,2025-11-30
JAB00020,LDA TINGUI,18520749,SETD JABOATAO,3304557,15029,JABOATAO AEREO,19065.0,2748.21,420,416,2727.8100000000004,2722.94,4.870000000000346,-20.4,14.30794649881983,99.2576986474833,UFV — Radiação solar,Residencial (RE),B1,2019-03-18,2025-12-31
FND3462,LDA VIADUTO,1222,SETD FUNDAO,3304557,15040,GOVERNADOR AEREO,19245.0,2737.12,368,362,2680.9800000000005,2668.32,12.66000000000031,-56.14,13.930787217459084,97.94893903080613,UFV — Radiação solar,Residencial (RE),B1,2018-01-15,2025-12-18
SDD002,LSA SAPOTIS,18520398,SETD SAUDADE,3300407,15001,SAUDADE,38227.5,2691.81,156,154,2678.36,2685.36,-7.0,-13.45,7.0063697599895365,99.50033620500705,UFV — Radiação solar,Comercial (CO),A4,2019-09-27,2025-12-09
REC0013,LDA MARAMAR,132097219,SETD RECREIO,3304557,14999,RECREIO,8865.0,2711.61,299,296,2643.3500000000004,2700.61,-57.25999999999976,-68.26,29.81782289904118,97.4826763435745,UFV — Radiação solar,Residencial (RE),B1,2015-02-02,2025-11-30
REC6,LDA ELIMATO,132097219,SETD RECREIO,3304557,14999,RECREIO,16470.0,4588.47,345,341,2633.7999999999997,2646.96,-13.16000000000031,-1954.67,15.99149969641773,57.400397082251814,UFV — Radiação solar,Residencial (RE),B1,2019-03-18,2025-12-01
REC99999,LDA FERNANDES,132097219,SETD RECREIO,3304557,14999,RECREIO,12227.5,2654.67,257,254,2607.23,2615.0699999999997,-7.839999999999691,-47.44,21.322674299734206,98.21296055630266,UFV — Radiação solar,Residencial (RE),B1,2017-11-14,2025-12-31
PDG00002,LDA URUCANGA,10385916,SETD PORTA DAGUA,3304557,16902,PORTA DAGUA AEREO,10505.0,2620.03,396,395,2599.46,2618.35,-18.889999999999873,-20.57,24.744978581627795,99.21489448594099,UFV — Radiação solar,Residencial (RE),B1,2015-11-06,2025-12-03
FTL014,LDA ESTAMPARIA,18521064,SETD FONTINELE,3300407,15007,FONTINELE,6082.5,2597.2,76,73,2577.0699999999997,2578.2,-1.1300000000001091,-20.13,42.36859843814221,99.2249345448945,UFV — Radiação solar,Comercial (CO),A4,2019-07-25,2025-11-30
ITP33172,LDA POSSOLO,10385988,SETD ITAPEBA,3304557,15066,ITAPEBA AEREO URBANO,20627.5,2769.89,273,266,2563.18,2578.08,-14.900000000000091,-206.71,12.426033208095987,92.53724877161186,UFV — Radiação solar,Residencial (RE),B1,2016-03-10,2025-12-03
CEN001,LSA BARAO,18520353,SETD CENTENARIO,3306206,15074,CENTENARIO AEREO AT/MT,54635.0,13313.803,279,274,2535.3900000000003,2546.05,-10.659999999999854,-10778.413,4.640596687105336,19.043319177848737,UFV — Radiação solar,Residencial (RE),B1,2018-05-08,2025-12-05
REC00001,LDA GADOBAN,132097219,SETD RECREIO,3304557,14999,RECREIO,20225.0,2760.684,295,290,2530.67,2542.2700000000004,-11.600000000000364,-230.014,12.512583436341162,91.66822425167095,UFV — Radiação solar,Residencial (RE),B1,2018-12-21,2025-12-15
ESP020,LSA BELIZARIO,18519958,SETD ESPERANCA,3304557,16899,ESPERANCA AEREO AT/MT,6692.5,7587.095,4,2,2503.0,2503.0,0.0,-5084.095,37.400074710496824,32.990228802987176,UFV — Radiação solar,Comercial (CO),A4,2022-07-12,2024-05-17
ESP001,LDA RAVASCO,18519958,SETD ESPERANCA,3304557,16899,ESPERANCA AEREO AT/MT,7417.5,2525.99,53,52,2473.5,2475.99,-2.4899999999997817,-52.49,33.346814964610715,97.92200285828527,UFV — Radiação solar,Comercial (CO),A4,2019-03-21,2026-01-31
MTO0003,LSA DART,29148432,SETD MATO ALTO,3304557,16898,MATO ALTO,34655.0,2580.82,149,145,2418.5600000000004,2436.62,-18.05999999999949,-162.26,6.9789640744481325,93.71285095434784,UFV — Radiação solar,Comercial (CO),A4,2019-03-18,2025-12-31
VIG002,LSA GRAMA,18520371,SETD VIGARIO,3304003,15003,VIGARIO,39952.5,2707.73,160,154,2396.13,2381.13,15.0,-311.6,5.997446968274827,88.49220564827364,UFV — Radiação solar,Residencial (RE),B1,2019-03-16,2025-12-31
VRD019,LSA ANGRA,18520470,SETD VOLTA REDONDA,3306305,15086,VOLTA REDONDA AEREO MT/MT,25052.5,2324.63,196,193,2275.99,2310.63,-34.64000000000033,-48.64,9.08488174832851,97.90762400898205,UFV — Radiação solar,Comercial (CO),B1,2019-08-15,2025-12-31
TQR33839,LDA IPADU,10385871,SETD TAQUARA,3304557,15023,TAQUARA AEREO,18622.5,2207.18,290,290,2197.38,2207.1800000000003,-9.800000000000182,-9.8,11.799597261377366,99.55599452695296,UFV — Radiação solar,Residencial (RE),B1,2019-03-19,2025-12-11
SCI004,LSA EUFRASIA,18520299,SETD SANTA CECILIA,3300308,15082,SANTA CECILIA AEREO AT/MT,55440.0,3280.39,238,234,2189.38,2211.6400000000003,-22.26000000000022,-1091.01,3.949098124098124,66.74145452217572,UFV — Radiação solar,Residencial (RE),B1,2018-03-02,2025-12-26
BAR33398,LDA GIBRAN/LDA ACHE,10385907,SETD BARRA,3304557,15013,BARRA AEREO,8850.0,2221.27,185,181,2153.6,2155.67,-2.0700000000001637,-67.67,24.334463276836157,96.95354459385847,UFV — Radiação solar,Residencial (RE),B1,2017-01-16,2025-11-05
AVD33357,LDA RIQUE/LDA RIODESIGN,10385943,SETD ALVORADA,3304557,15004,ALVORADA,8430.0,2268.689,141,139,2138.29,2163.66,-25.36999999999989,-130.399,25.36524317912218,94.2522311343688,UFV — Radiação solar,Residencial (RE),B1,2015-02-02,2025-11-30
ITP0003,LDS 24364/LRA MANSOES/LRA AUTUORI,10385988,SETD ITAPEBA,3304557,15066,ITAPEBA AEREO URBANO,9222.5,2545.514,192,190,2136.13,2152.91,-16.779999999999745,-409.384,23.16215776633234,83.91743278567708,UFV — Radiação solar,Residencial (RE),B1,2016-08-24,2025-11-30
PDG29820,LDA GOIS,10385916,SETD PORTA DAGUA,3304557,16902,PORTA DAGUA AEREO,12332.5,2127.37,361,360,2077.19,2107.37,-30.179999999999836,-50.18,16.843219136428136,97.64121896990181,UFV — Radiação solar,Residencial (RE),B1,2018-10-26,2025-12-18
JAB00021,LDA PALMACIA,18520749,SETD JABOATAO,3304557,15029,JABOATAO AEREO,13380.0,2095.25,403,400,2074.12,2083.35,-9.230000000000018,-21.13,15.501644245142003,98.99152845722467,UFV — Radiação solar,Residencial (RE),B1,2019-03-19,2025-12-11
AVD0001,LDS 30026/LRA MARINA,10385943,SETD ALVORADA,3304557,15004,ALVORADA,13617.5,2073.97,176,175,2055.17,2059.9700000000003,-4.800000000000182,-18.8,15.092124105011933,99.09352594299823,UFV — Radiação solar,Residencial (RE),B1,2016-07-04,2025-11-30
TRS003,LDA GUARACIABA,18520326,SETD TRES RIOS,3306008,15087,TRES RIOS AEREO AT/MT,8047.5,2043.7,55,53,2022.84,2015.3,7.539999999999964,-20.86,25.136253494874186,98.9793022459265,UFV — Radiação solar,Comercial (CO),A4,2019-11-19,2025-12-16
PDG33651,LDA JOPIN,10385916,SETD PORTA DAGUA,3304557,16902,PORTA DAGUA AEREO,11392.5,2016.1,310,308,1997.26,2001.63,-4.370000000000118,-18.84,17.531358349791528,99.06552254352464,UFV — Radiação solar,Residencial (RE),B1,2017-06-02,2025-12-11
STS004,LSA LETICIA,18521136,SETD SANTISSIMO,3304557,15042,SANTISSIMO AEREO,34377.5,2001.76,293,290,1988.5800000000002,1989.2500000000002,-0.6700000000000728,-13.18,5.784539306232275,99.34157941011911,UFV — Radiação solar,Residencial (RE),B1,2019-03-20,2025-12-31
STS001,LSA CAVADO,18521136,SETD SANTISSIMO,3304557,15042,SANTISSIMO AEREO,41157.0,2043.74,307,300,1971.96,1998.5300000000002,-26.570000000000164,-71.78,4.79131132006706,96.48781156115749,UFV — Radiação solar,Residencial (RE),B1,2016-08-16,2025-12-19
REC00003,LDA GRABOIS,132097219,SETD RECREIO,3304557,14999,RECREIO,10707.5,1940.877,208,207,1855.76,1850.75,5.009999999999991,-85.117,17.331403222040624,95.61450828671781,UFV — Radiação solar,Residencial (RE),B1,2019-04-10,2025-11-30
AFR004,LDA FORTUNATO,18520461,SETD ARI FRANCO,3304557,15010,ARI FRANCO,10087.5,1975.02,169,166,1775.41,1963.52,-188.1099999999999,-199.61,17.60009913258984,89.8932669036263,UFV — Radiação solar,Residencial (RE),B1,2019-02-18,2025-12-09
JAB012,LDA VITORAL,18520749,SETD JABOATAO,3304557,15029,JABOATAO AEREO,15110.0,1766.3,291,289,1757.54,1759.54,-2.0,-8.76,11.631634679020516,99.50404800996434,UFV — Radiação solar,Residencial (RE),B1,2019-05-16,2025-12-18
JAB004,LDA RIDOA,18520749,SETD JABOATAO,3304557,15029,JABOATAO AEREO,15195.0,1775.46,284,282,1750.27,1752.66,-2.3900000000001,-25.19,11.518723264231655,98.58121275613081,UFV — Radiação solar,Residencial (RE),B1,2018-04-05,2025-12-16
QMD009,LSA PELICANO,18520893,SETD QUEIMADOS,3304144,15698,QUEIMADOS AEREO,14405.0,1685.0,4,4,1745.0,1685.0,60.0,60.0,12.113849357861854,103.56083086053413,UFV — Radiação solar,Comercial (CO),A4,2019-08-22,2022-12-01
RTO003,LDA CURIE,18520875,SETD RETIRO,3306305,14995,RETIRO,11050.0,1765.28,209,206,1736.9399999999998,1748.7799999999997,-11.839999999999918,-28.34,15.718914027149319,98.39458896039154,UFV — Radiação solar,Residencial (RE),B1,2015-08-28,2025-12-01
PDG29753,LDA BANANAL,10385916,SETD PORTA DAGUA,3304557,16902,PORTA DAGUA AEREO,12000.0,1758.1,243,243,1725.17,1758.1,-32.929999999999836,-32.93,14.376416666666668,98.12695523576589,UFV — Radiação solar,Residencial (RE),B1,2018-01-16,2025-12-31
VRD002,LDA LARANJAL/LDA SIDEROPOLIS,18520470,SETD VOLTA REDONDA,3306305,15084,VOLTA REDONDA AEREO AT/MT,14007.5,1699.58,225,224,1692.86,1695.1799999999998,-2.3199999999999363,-6.72,12.08538283062645,99.60460819731934,UFV — Radiação solar,Residencial (RE),B1,2019-06-03,2025-12-18
CHR009,LDA BELAVI,18520758,SETD CACHAMORRA,3304557,15011,CACHAMORRA,16652.5,1688.5,172,172,1676.03,1688.5,-12.470000000000027,-12.47,10.064735024771055,99.26147468167012,UFV — Radiação solar,Residencial (RE),B1,2016-02-16,2025-12-16
SRP001,LDA AVELAR/BOLERO,18520803,SETD SARAPUI,3301702,15000,SARAPUI,22852.5,1807.906,75,73,1660.22,1660.22,0.0,-147.686,7.26493819056996,91.83110183825929,UFV — Radiação solar,Comercial (CO),B3,2019-11-05,2025-12-04
FTL003,LDA CASCATINHA,18521064,SETD FONTINELE,3300407,15007,FONTINELE,6885.0,1748.349,50,49,1620.8899999999999,1568.85,52.039999999999964,-127.459,23.54233841684822,92.70975074198573,UFV — Radiação solar,Comercial (CO),A4,2019-03-28,2025-11-30
ESP017,LSA BARBARIO,18519958,SETD ESPERANCA,3304557,16900,PACIENCIA,58202.5,1590.66,218,217,1585.12,1586.16,-1.040000000000191,-5.54,2.7234568961814354,99.6517168973885,UFV — Radiação solar,Residencial (RE),B1,2019-06-03,2025-12-22
STS003,LSA DOCABRITO,18521136,SETD SANTISSIMO,3304557,15042,SANTISSIMO AEREO,36952.5,1568.76,160,151,1556.6599999999999,1489.6599999999999,67.0,-12.1,4.2125972532304985,99.22869017568016,UFV — Radiação solar,Residencial (RE),B1,2019-04-26,2025-12-31
JAB00022,LDA ARACAJU,18520749,SETD JABOATAO,3304557,15029,JABOATAO AEREO,13327.5,1524.12,200,199,1509.4499999999998,1519.62,-10.170000000000073,-14.67,11.325830050647156,99.03747736398708,UFV — Radiação solar,Residencial (RE),B1,2019-03-25,2025-12-05
PDG29724,LDA MENEZES,10385916,SETD PORTA DAGUA,3304557,16902,PORTA DAGUA AEREO,12495.0,1488.65,141,140,1480.0500000000002,1482.0500000000002,-2.0,-8.6,11.84513805522209,99.42229536828671,UFV — Radiação solar,Residencial (RE),B1,2017-11-30,2025-12-31
CHR013,LDA PABELI,18520758,SETD CACHAMORRA,3304557,15011,CACHAMORRA,13237.5,1488.42,220,217,1458.64,1463.8200000000002,-5.180000000000064,-29.78,11.018999055712937,97.99922065008532,UFV — Radiação solar,Residencial (RE),B1,2019-04-02,2025-11-30
SDD001,LSA MARTINE,18520398,SETD SAUDADE,3300407,15001,SAUDADE,26100.0,1552.39,170,166,1456.5700000000002,1468.8899999999999,-12.319999999999709,-95.82,5.5807279693486604,93.82758198648537,UFV — Radiação solar,Residencial (RE),B1,2019-01-22,2025-12-23
QMD002,LSA MARAJO,18520893,SETD QUEIMADOS,3304144,15043,SEROPEDICA AEREO,25297.5,4383.678,37,33,1455.75,1455.75,0.0,-2927.928,5.754521197746813,33.20841539912375,UFV — Radiação solar,Comercial (CO),A4,2019-11-01,2025-06-25
TQR33862,LDA BOCARI,10385871,SETD TAQUARA,3304557,15023,TAQUARA AEREO,9667.5,1502.75,199,198,1438.45,1488.75,-50.299999999999955,-64.3,14.879234548745798,95.72117784062551,UFV — Radiação solar,Residencial (RE),B1,2015-09-22,2025-12-12
CHR0006,LDA MILATO,18520758,SETD CACHAMORRA,3304557,15011,CACHAMORRA,10665.0,1652.908,210,206,1403.6999999999998,1432.2,-28.500000000000227,-249.208,13.161744022503514,84.9230568186493,UFV — Radiação solar,Residencial (RE),B1,2018-11-27,2025-12-19
ITG0007,LDA THEODORA,310129856,SETD ITAGUAI,3302007,15694,ITAGUAI,13057.5,1533.483,136,133,1391.81,1394.0100000000002,-2.200000000000273,-141.673,10.659084817154891,90.76135829350571,UFV — Radiação solar,Residencial (RE),B1,2019-03-19,2025-12-31
PCI0005,LDA SINIMBU,450101398,SETD PACIENCIA,3304557,16900,PACIENCIA,17700.0,1549.41,87,83,1389.8600000000001,1386.01,3.8500000000001364,-159.55,7.852316384180791,89.70253193150941,UFV — Radiação solar,Residencial (RE),B1,2019-08-19,2025-11-30
CHR004,LDA NEGRAS,18520758,SETD CACHAMORRA,3304557,15011,CACHAMORRA,7910.0,1401.36,171,166,1387.06,1358.21,28.84999999999991,-14.3,17.53552465233881,98.9795627105098,UFV — Radiação solar,Residencial (RE),B1,2018-11-30,2025-12-18
TQR33830,LDA CATONHO,10385871,SETD TAQUARA,3304557,15023,TAQUARA AEREO,7555.0,6434.521,129,128,1340.6,6335.05,-4994.450000000001,-5093.921,17.744540039708802,20.83449568351708,UFV — Radiação solar,Residencial (RE),B1,2019-07-24,2025-08-05
MNB003,LDA EMIL,18520902,SETD MENA BARRETO,3302858,15057,MENA BARRETO AEREO,10612.5,1340.87,235,234,1332.67,1334.87,-2.199999999999818,-8.2,12.557550058892815,99.38845674823064,UFV — Radiação solar,Residencial (RE),B1,2019-03-20,2025-12-06
VRD004,LDA TRESPOCOS,18520470,SETD VOLTA REDONDA,3306305,15084,VOLTA REDONDA AEREO AT/MT,11570.0,1444.67,197,194,1316.23,1305.95,10.279999999999973,-128.44,11.376231633535005,91.1093883032111,UFV — Radiação solar,Residencial (RE),B1,2019-03-22,2025-11-30
ITP24007,LDS 24007/LRA FELICITA,10385988,SETD ITAPEBA,3304557,15060,ITAPEBA SUBTERRANEO,10865.0,1274.3,78,76,1296.64,1230.92,65.72000000000003,22.34,11.934100322135299,101.75311935964845,UFV — Radiação solar,Comercial (CO),A4,2019-02-15,2025-12-06
REC9,LDA BANDUARTE,132097219,SETD RECREIO,3304557,14999,RECREIO,11050.0,1557.576,213,210,1288.5500000000002,1343.43,-54.87999999999988,-269.026,11.66108597285068,82.72790541199916,UFV — Radiação solar,Residencial (RE),B1,2019-05-28,2025-12-01
VVQ9968,LDA MAFRA,1177,SETD VILA VALQUEIRE,3304557,15032,VILA VALQUEIRE,10680.0,1283.79,209,209,1276.0900000000001,1283.79,-7.699999999999818,-7.7,11.948408239700376,99.4002134305455,UFV — Radiação solar,Residencial (RE),B1,2019-04-01,2025-12-22
CHR0003,LDA ITUPIRANGA,18520758,SETD CACHAMORRA,3304557,15011,CACHAMORRA,13935.0,1363.8,144,142,1259.6,1284.7999999999997,-25.199999999999818,-104.2,9.039110154287764,92.35958351664466,UFV — Radiação solar,Residencial (RE),B1,2019-05-18,2025-12-18
VRD012,LDA SESSENTA,18520470,SETD VOLTA REDONDA,3306305,15084,VOLTA REDONDA AEREO AT/MT,13182.5,1330.09,127,126,1257.8400000000001,1316.0900000000001,-58.25,-72.25,9.54174094443391,94.56803674939292,UFV — Radiação solar,Residencial (RE),B1,2017-03-30,2025-12-31
TQR00005,LDA NOVELISTA,10385871,SETD TAQUARA,3304557,15023,TAQUARA AEREO,17192.5,1227.4,107,107,1247.4,1227.4,20.0,20.0,7.255489312200088,101.62946064852534,UFV — Radiação solar,Comercial (CO),B1,2019-06-03,2025-12-31
