CTMT_A,CTMT_B,SUB_A,SUB_B,SUB_NOME_A,SUB_NOME_B,CONJ_A,CONJ_B,CONJ_NOME_A,CONJ_NOME_B,n_ties_campo,n_ties_telecomandadas,chaves,chaves_telecomandadas
BAR29691,BAR33398,10385907,10385907,SETD BARRA,SETD BARRA,15013,15013,BARRA AEREO,BARRA AEREO,8,2,1018133204;1018133212;11063598;11076596;535080868;535080877;795228958;998908986,535080868;998908986
CCD3044,CCD910,1186,1186,SETD CASCADURA,SETD CASCADURA,15034,15034,CASCADURA AEREO,CASCADURA AEREO,8,2,1007947851;1582839;1614836;1614857;1614899;1614962;653748764;997595022,1007947851;997595022
ESP004,ESP012,18519958,18519958,SETD ESPERANCA,SETD ESPERANCA,16899,16899,ESPERANCA AEREO AT/MT,ESPERANCA AEREO AT/MT,8,2,1003477804;1004800368;20703710;20703815;20703836;20703864;20777253;20777260,1003477804;1004800368
LPD29027,LPD33255,10386033,10386033,SETD LEOPOLDO,SETD LEOPOLDO,15030,15030,LEOPOLDO AEREO,LEOPOLDO AEREO,8,2,11074916;11074972;11074979;514438507;653636976;653636993;688895070;688895085,653636993;688895070
TQR0007,TQR33862,10385871,10385871,SETD TAQUARA,SETD TAQUARA,15023,15023,TAQUARA AEREO,TAQUARA AEREO,8,2,1007642983;11026081;11026438;11026494;11038232;134733185;258481641;752622332,1007642983;752622332
MNB001,MNB014,18520902,18520902,SETD MENA BARRETO,SETD MENA BARRETO,15057,15057,MENA BARRETO AEREO,MENA BARRETO AEREO,8,1,20727230;20727244;20727384;20727391;20727405;20790416;633515360;633515393,633515393
STS003,STS006,18521136,18521136,SETD SANTISSIMO,SETD SANTISSIMO,15042,15042,SANTISSIMO AEREO,SANTISSIMO AEREO,8,1,20662176;20662197;20662246;20662260;20734125;215387069;478338743;717274055,717274055
AVD0001,AVD30048,10385943,10385943,SETD ALVORADA,SETD ALVORADA,15004,15004,ALVORADA,ALVORADA,7,3,10917672;11214035;29431194;40724559;531665914;58348485;7596586,10917672;40724559;7596586
CEN002,CEN005,18520353,18520353,SETD CENTENARIO,SETD CENTENARIO,15074,15089,CENTENARIO AEREO AT/MT,CENTENARIO AEREO MT/MT,7,3,20802308;20802315;476410819;496704464;718559279;936495704;936495713,476410819;718559279;936495704
CRM0009,NIG029,280389625,18519976,SETD CARMARI,SETD NOVA IGUACU,15691,15692,CARMARI,NOVA IGUACU,7,3,111244739;130318629;20669627;20669641;20669648;986018423;989612474,111244739;986018423;989612474
MTO00002,MTO0003,29148432,29148432,SETD MATO ALTO,SETD MATO ALTO,16900,16898,PACIENCIA,MATO ALTO,7,2,138537356;25197555;434909269;434909289;455241418;549436427;963054087,434909269;963054087
REC6,REC9,132097219,132097219,SETD RECREIO,SETD RECREIO,14999,14999,RECREIO,RECREIO,7,2,11024786;141595120;295254908;713422434;713422443;739877769;961568349,713422434;961568349
SRD0005,SRD002,18521154,18521154,SETD SEROPEDICA,SETD SEROPEDICA,15043,15043,SEROPEDICA AEREO,SEROPEDICA AEREO,7,2,1011477560;20818341;592580594;702674534;750694325;755198819;915570991,702674534;750694325
ABR005,ABR016,18520731,18520731,SETD AREIA BRANCA,SETD AREIA BRANCA,15054,15054,AREIA BRANCA AEREO,AREIA BRANCA AEREO,7,1,20686861;20686994;20687015;20687022;20687029;20687043;997384616,997384616
CMS008,CMS009,18520839,18520839,SETD COSMOS,SETD COSMOS,16897,16897,COSMOS,COSMOS,7,1,20672448;20672525;20672546;20672602;20672630;20814540;963088439,963088439
CUR33332,CUR33338,10386042,10386042,SETD CURICICA,SETD CURICICA,16901,16901,CURICICA AEREO,CURICICA AEREO,7,1,102197251;102261788;11053739;11053949;11092362;113219899;756036062,756036062
ITG0003,ITG0005,310129856,310129856,SETD ITAGUAI,SETD ITAGUAI,15694,15694,ITAGUAI,ITAGUAI,7,1,135974013;20702142;276941772;276941797;54483151;57801634;756319465,756319465
PER654,PER667,1240,1240,SETD PEDRO ERNESTO,SETD PEDRO ERNESTO,15061,15061,PEDRO ERNESTO AEREO,PEDRO ERNESTO AEREO,7,1,1586885;1586899;1586934;1586962;1587032;551216517;750994915,750994915
ROS004,ROS015,18519985,18519985,SETD ROSALI,SETD ROSALI,14996,14996,ROSALI,ROSALI,7,1,1002773528;133187501;139126061;20768262;20768269;20768409;20768458,1002773528
TQR33859,TQR33862,10385871,10385871,SETD TAQUARA,SETD TAQUARA,15023,15023,TAQUARA AEREO,TAQUARA AEREO,7,1,11053522;11053620;11053627;11053648;11053690;11056672;789941518,789941518
CRO009,CRO014,18521055,18521055,SETD COELHO DA ROCHA,SETD COELHO DA ROCHA,15035,15035,COELHO DA ROCHA,COELHO DA ROCHA,7,0,124809656;20715162;20715204;20814309;20814316;20815520;348772249,
ITG0007,ITG0009,310129856,310129856,SETD ITAGUAI,SETD ITAGUAI,15694,15694,ITAGUAI,ITAGUAI,7,0,20701911;20701939;20702163;263292013;264360367;265133278;54585418,
MNB010,MNB011,18520902,18520902,SETD MENA BARRETO,SETD MENA BARRETO,15057,15057,MENA BARRETO AEREO,MENA BARRETO AEREO,7,0,20708694;20708701;20708771;20708778;20708785;20708792;20735329,
PER29452,PER70299,1240,1240,SETD PEDRO ERNESTO,SETD PEDRO ERNESTO,15061,15061,PEDRO ERNESTO AEREO,PEDRO ERNESTO AEREO,7,0,1582559;1582615;1583945;1616019;1616040;1620240;1620429,
QMD005,QMD007,18520893,18520893,SETD QUEIMADOS,SETD QUEIMADOS,15692,15698,NOVA IGUACU,QUEIMADOS AEREO,7,0,135677588;20682206;20694729;20694743;20712474;84712045;95412791,
RFR004,RFR007,18520767,18520767,SETD ROCHA FREIRE,SETD ROCHA FREIRE,15693,15693,ROCHA FREIRE AEREO AT/MT,ROCHA FREIRE AEREO AT/MT,7,0,132092601;137691507;137798847;20684180;20703514;20703528;622192013,
VRD003,VRD004,18520470,18520470,SETD VOLTA REDONDA,SETD VOLTA REDONDA,15084,15084,VOLTA REDONDA AEREO AT/MT,VOLTA REDONDA AEREO AT/MT,7,0,20658760;20658830;294375235;34884477;725681723;754412955;774058058,
BAR4841,BAR4998,10385907,10385907,SETD BARRA,SETD BARRA,15013,15013,BARRA AEREO,BARRA AEREO,6,2,10917322;10917336;11092866;11093209;39969093;40021649,10917322;10917336
BRI00005,BRI001,18521208,18521208,SETD BRISAMAR,SETD BRISAMAR,15006,15006,BRISA MAR,BRISA MAR,6,2,160647147;20707000;436631577;495879886;966730071;966730081,495879886;966730081
CMS007,CMS014,18520839,18520839,SETD COSMOS,SETD COSMOS,16897,16897,COSMOS,COSMOS,6,2,20231505;20231533;20231610;753803113;764521006;986443505,764521006;986443505
CRO001,CRO004,18521055,18521055,SETD COELHO DA ROCHA,SETD COELHO DA ROCHA,15035,15035,COELHO DA ROCHA,COELHO DA ROCHA,6,2,1001889022;20711165;20817844;393064192;468767425;997676559,1001889022;997676559
CSO00015,CSO012,18520821,18520821,SETD COMENDADOR SOARES,SETD COMENDADOR SOARES,15048,15048,COMENDADOR SOARES,COMENDADOR SOARES,6,2,101226795;20721623;20721665;758002747;758002757;993627338,758002757;993627338
CXS0025,CXS010,18520785,18520785,SETD CAXIAS,SETD CAXIAS,15700,15700,CAXIAS AEREO,CAXIAS AEREO,6,2,20718921;20727762;20727769;703554819;703554828;996186619,703554819;996186619
MTO00001,PCI0015,29148432,450101398,SETD MATO ALTO,SETD PACIENCIA,16898,16899,MATO ALTO,ESPERANCA AEREO AT/MT,6,2,20659068;22476223;22476578;536586879;934043802;959657540,934043802;959657540
PMG0017,PMG002,18520479,18520479,SETD PADRE MIGUEL,SETD PADRE MIGUEL,15019,14991,PADRE MIGUEL,CAMARA,6,2,20695387;20695562;20717983;20816346;690054449;690075922,690054449;690075922
PMG008,PMG011,18520479,18520479,SETD PADRE MIGUEL,SETD PADRE MIGUEL,15019,15019,PADRE MIGUEL,PADRE MIGUEL,6,2,20728259;20728280;20728329;20767898;719360944;780456030,719360944;780456030
STC00004,STC00007,34192093,34192093,SETD SANTA CLARA,SETD SANTA CLARA,15052,15052,SANTA CLARA AEREO,SANTA CLARA AEREO,6,2,20667814;20720419;20729932;20780053;973522891;974574940,973522891;974574940
VRD003,VRD011,18520470,18520470,SETD VOLTA REDONDA,SETD VOLTA REDONDA,15084,15084,VOLTA REDONDA AEREO AT/MT,VOLTA REDONDA AEREO AT/MT,6,2,1003366160;20658620;20658683;20658802;754112357;754413057,1003366160;754112357
VVQ9903,VVQ9951,1177,1177,SETD VILA VALQUEIRE,SETD VILA VALQUEIRE,15032,15032,VILA VALQUEIRE,VILA VALQUEIRE,6,2,1587333;1587480;1598967;1598974;971010872;971362985,971010872;971362985
WLS002,WLS003,18519994,18519994,SETD WASHINGTON LUIS,SETD WASHINGTON LUIS,15073,15073,WASHINGTON LUIS AEREO,WASHINGTON LUIS AEREO,6,2,1002365613;20707672;20707679;20707812;38836062;870192083,1002365613;870192083
ABR001,ABR012,18520731,18520731,SETD AREIA BRANCA,SETD AREIA BRANCA,15054,15054,AREIA BRANCA AEREO,AREIA BRANCA AEREO,6,1,107148347;20702905;20820882;20821008;20821113;20821120,107148347
ABR003,ABR018,18520731,18520731,SETD AREIA BRANCA,SETD AREIA BRANCA,15054,15054,AREIA BRANCA AEREO,AREIA BRANCA AEREO,6,1,20747603;20775181;20789310;20789436;516692820;516692841,516692841
AFR006,AFR012,18520461,18520461,SETD ARI FRANCO,SETD ARI FRANCO,15010,15010,ARI FRANCO,ARI FRANCO,6,1,20774495;20774509;20774544;20774600;308343011;716810380,716810380
BAR33398,BAR99999,10385907,10385907,SETD BARRA,SETD BARRA,15013,15013,BARRA AEREO,BARRA AEREO,6,1,11063353;11063444;633442312;669129738;796287987;934533400,934533400
BMT0001,BMT29737,1195,1195,SETD BOCA DO MATO,SETD BOCA DO MATO,14998,15055,PIEDADE,BOCA DO MATO AEREO,6,1,1607241;1607381;1616677;1616796;575702025;986997659,986997659
CCD641,CCD757,1186,1186,SETD CASCADURA,SETD CASCADURA,15034,15034,CASCADURA AEREO,CASCADURA AEREO,6,1,1249389;1613170;1613219;1625413;1625497;687422243,687422243
CEN002,TRS013,18520353,18520326,SETD CENTENARIO,SETD TRES RIOS,15074,15088,CENTENARIO AEREO AT/MT,TRES RIOS AEREO MT/MT,6,1,1004834657;20668591;20675507;20821197;510591353;520287440,1004834657
CRM0006,CRM0012,280389625,280389625,SETD CARMARI,SETD CARMARI,15691,15691,CARMARI,CARMARI,6,1,20728469;268271999;298703544;360842012;752532190;997929956,997929956
CSO001,CSO011,18520821,18520821,SETD COMENDADOR SOARES,SETD COMENDADOR SOARES,15048,15048,COMENDADOR SOARES,COMENDADOR SOARES,6,1,20726264;20757850;20757864;28379258;28379495;976734778,976734778
CSO004,CSO013,18520821,18520821,SETD COMENDADOR SOARES,SETD COMENDADOR SOARES,15048,15048,COMENDADOR SOARES,COMENDADOR SOARES,6,1,20709191;20709247;20715687;713813166;713813175;995259115,995259115
CXS024,SJO0004,18520785,310718139,SETD CAXIAS,SETD SAO JOAO,15699,15699,SAO JOAO,SAO JOAO,6,1,20677159;20677194;20677292;20687113;758938854;758938865,758938854
ESP003,ESP005,18519958,18519958,SETD ESPERANCA,SETD ESPERANCA,16899,16899,ESPERANCA AEREO AT/MT,ESPERANCA AEREO AT/MT,6,1,20697886;20714868;20714882;20714987;20779605;458809998,458809998
ESP007,ESP012,18519958,18519958,SETD ESPERANCA,SETD ESPERANCA,16899,16899,ESPERANCA AEREO AT/MT,ESPERANCA AEREO AT/MT,6,1,1000454828;19764194;20704179;20704389;33682164;60240543,1000454828
ESP007,ESP015,18519958,18519958,SETD ESPERANCA,SETD ESPERANCA,16899,16899,ESPERANCA AEREO AT/MT,ESPERANCA AEREO AT/MT,6,1,20704410;20730534;20731934;20732025;376021303;996903704,996903704
ESP010,ESP015,18519958,18519958,SETD ESPERANCA,SETD ESPERANCA,16899,16899,ESPERANCA AEREO AT/MT,ESPERANCA AEREO AT/MT,6,1,20714784;20714903;20731955;20732074;20732088;928422970,928422970
ESP017,PCI0014,18519958,450101398,SETD ESPERANCA,SETD PACIENCIA,16900,16900,PACIENCIA,PACIENCIA,6,1,20668199;20778695;20815716;28821480;740371542;998595524,998595524
FND3262,FND3462,1222,1222,SETD FUNDAO,SETD FUNDAO,15040,15040,GOVERNADOR AEREO,GOVERNADOR AEREO,6,1,1597658;469986984;469986993;898846731;928049412;940497662,928049412
GNB24905,GNB29257,1150,1150,SETD GUANABARA,SETD GUANABARA,15037,15037,GUANABARA AEREO,GUANABARA AEREO,6,1,1603972;1604028;1604133;43973397;694752105;914574768,694752105
ITG0008,ITG0011,310129856,310129856,SETD ITAGUAI,SETD ITAGUAI,15694,15694,ITAGUAI,ITAGUAI,6,1,20719187;20719194;20719418;288294882;344593516;972917434,972917434
MNB014,MNB016,18520902,18520902,SETD MENA BARRETO,SETD MENA BARRETO,15057,15057,MENA BARRETO AEREO,MENA BARRETO AEREO,6,1,20727223;20727258;20727314;20727370;20727398;977503402,977503402
MTC007,MTC012,1276,1276,SETD MATURACA,SETD MATURACA,15031,15031,MATURACA AEREO,MATURACA AEREO,6,1,1001189118;1567003;1567052;1567059;1595558;1631818,1001189118
MTC009,MTC013,1276,1276,SETD MATURACA,SETD MATURACA,15031,15031,MATURACA AEREO,MATURACA AEREO,6,1,1584813;1585492;1585506;1585576;1585590;761266155,761266155
PCI0005,PCI0016,450101398,450101398,SETD PACIENCIA,SETD PACIENCIA,16900,16900,PACIENCIA,PACIENCIA,6,1,25679745;25680409;25680532;25681034;737620202;959593135,959593135
RTO00014,RTO001,18520875,18520875,SETD RETIRO,SETD RETIRO,14995,14995,RETIRO,RETIRO,6,1,20701519;20701561;20701568;30779907;708282453;708282498,708282453
VVQ9898,VVQ9912,1177,1177,SETD VILA VALQUEIRE,SETD VILA VALQUEIRE,15032,15032,VILA VALQUEIRE,VILA VALQUEIRE,6,1,1592079;1592184;1592240;1592254;702043298;702043307,702043298
WLS00014,WLS00015,18519994,18519994,SETD WASHINGTON LUIS,SETD WASHINGTON LUIS,15073,15073,WASHINGTON LUIS AEREO,WASHINGTON LUIS AEREO,6,1,141491612;20692314;20744446;20744460;465757499;752635240,752635240
WLS003,WLS007,18519994,18519994,SETD WASHINGTON LUIS,SETD WASHINGTON LUIS,15073,15073,WASHINGTON LUIS AEREO,WASHINGTON LUIS AEREO,6,1,116350279;20707777;20707791;20820406;562721114;685361118,685361118
CAM008,CAM014,18520488,18520488,SETD CAMARA,SETD CAMARA,14991,14991,CAMARA,CAMARA,6,0,20813175;20813203;20813315;20813329;20813336;20813350,
CRM0005,CRM0011,280389625,280389625,SETD CARMARI,SETD CARMARI,15691,15691,CARMARI,CARMARI,6,0,20673064;20673092;20737380;20737401;23067666;269345463,
CXS004,CXS008,18520785,18520785,SETD CAXIAS,SETD CAXIAS,15700,15700,CAXIAS AEREO,CAXIAS AEREO,6,0,20717003;20717087;20717101;20717115;20717122;20717150,
ITG0006,ITG0009,310129856,310129856,SETD ITAGUAI,SETD ITAGUAI,15694,15694,ITAGUAI,ITAGUAI,6,0,133521171;20676963;20701904;20791249;54439459;95399812,
JAB00016,JAB013,18520749,18520749,SETD JABOATAO,SETD JABOATAO,15029,15029,JABOATAO AEREO,JABOATAO AEREO,6,0,124075167;20659236;20659257;20659313;20659383;20708967,
MNB013,PVN0004,18520902,1303,SETD MENA BARRETO,SETD PAVUNA,15057,14994,MENA BARRETO AEREO,PAVUNA,6,0,20705733;20739396;20739410;20739438;215189538;97143387,
REC00002,REC0015,132097219,132097219,SETD RECREIO,SETD RECREIO,14999,14999,RECREIO,RECREIO,6,0,11063654;11063955;11064697;608949853;769961522;8124632,
CHR002,JAB009,18520758,18520749,SETD CACHAMORRA,SETD JABOATAO,15011,15029,CACHAMORRA,JABOATAO AEREO,5,3,20738374;23304417;26163470;362877419;702945055,23304417;26163470;702945055
ABR003,CRO0031,18520731,18521055,SETD AREIA BRANCA,SETD COELHO DA ROCHA,15054,15035,AREIA BRANCA AEREO,COELHO DA ROCHA,5,2,1007690246;20670803;20693686;20747617;561968663,1007690246;561968663
ABR014,NIG010,18520731,18519976,SETD AREIA BRANCA,SETD NOVA IGUACU,15054,15692,AREIA BRANCA AEREO,NOVA IGUACU,5,2,20698873;519423732;632351728;632351759;966184454,632351759;966184454
AFR009,AFR011,18520461,18520461,SETD ARI FRANCO,SETD ARI FRANCO,15010,15010,ARI FRANCO,ARI FRANCO,5,2,103017355;20687827;20687918;701631084;960155636,701631084;960155636
BAR2477,BAR30673,10385907,10385907,SETD BARRA,SETD BARRA,15013,15013,BARRA AEREO,BARRA AEREO,5,2,10917448;43996475;448306791;45675839;48191660,10917448;48191660
CEN006,SCI004,18520353,18520299,SETD CENTENARIO,SETD SANTA CECILIA,15089,15082,CENTENARIO AEREO MT/MT,SANTA CECILIA AEREO AT/MT,5,2,363044010;397396834;945380011;945380021;997994388,945380011;997994388
CLG0007,CLG0016,1249,1249,SETD COLEGIO,SETD COLEGIO,15021,15021,COLEGIO AEREO,COLEGIO AEREO,5,2,1593766;1630901;972200306;973162196;973162212,972200306;973162212
ESP018,MRP00004,18519958,224567922,SETD ESPERANCA,SETD MARAPICU,15070,15697,ESPERANCA AEREO MT/MT,MARAPICU,5,2,142728448;20716520;20716618;543993984;971839614,543993984;971839614
ITG0010,ITG0011,310129856,310129856,SETD ITAGUAI,SETD ITAGUAI,15694,15694,ITAGUAI,ITAGUAI,5,2,146756117;20719362;20738738;288114536;998252050,146756117;998252050
PDG00002,PDG29023,10385916,10385916,SETD PORTA DAGUA,SETD PORTA DAGUA,16902,16902,PORTA DAGUA AEREO,PORTA DAGUA AEREO,5,2,11023463;11154174;112232325;977074027;977091219,977074027;977091219
QMD004,RFR006,18520893,18520767,SETD QUEIMADOS,SETD ROCHA FREIRE,15698,15693,QUEIMADOS AEREO,ROCHA FREIRE AEREO AT/MT,5,2,1014109786;20668031;20720398;996530111;997204931,996530111;997204931
REC00001,REC0001,132097219,132097219,SETD RECREIO,SETD RECREIO,14999,14999,RECREIO,RECREIO,5,2,11134768;530764260;530764269;7399333;962384224,530764260;962384224
ROS004,ROS014,18519985,18519985,SETD ROSALI,SETD ROSALI,14996,14996,ROSALI,ROSALI,5,2,140804595;163644606;505532705;505532714;989509453,505532705;989509453
ABR004,ABR008,18520731,18520731,SETD AREIA BRANCA,SETD AREIA BRANCA,15054,15054,AREIA BRANCA AEREO,AREIA BRANCA AEREO,5,1,20780473;20780508;20780732;20819734;753116156,753116156
AFR001,AFR006,18520461,18520461,SETD ARI FRANCO,SETD ARI FRANCO,15010,15010,ARI FRANCO,ARI FRANCO,5,1,20694897;20694911;20694918;20694939;990561468,990561468
AFR004,AFR011,18520461,18520461,SETD ARI FRANCO,SETD ARI FRANCO,15010,15010,ARI FRANCO,ARI FRANCO,5,1,20687680;20687848;20687932;20706377;706152671,706152671
AFR007,STS005,18520461,18521136,SETD ARI FRANCO,SETD SANTISSIMO,15010,15042,ARI FRANCO,SANTISSIMO AEREO,5,1,20775811;20815065;20815086;20815121;547463642,547463642
BAR000,BRR38521,10385907,345834478,SETD BARRA,SETD BARRA 2,15013,16902,BARRA AEREO,PORTA DAGUA AEREO,5,1,462279303;462279321;470326292;472524809;481941398,462279321
BAR3176,BRR38521,10385907,345834478,SETD BARRA,SETD BARRA 2,15013,16902,BARRA AEREO,PORTA DAGUA AEREO,5,1,11077415;11077618;266958016;672351626;675828447,675828447
BFG29165,BFG29289,10385934,10385934,SETD BOTAFOGO,SETD BOTAFOGO,15067,15067,BOTAFOGO AEREO URBANO,BOTAFOGO AEREO URBANO,5,1,1008553316;1013495739;11306806;11307646;646229842,1008553316
CAM005,CAM012,18520488,18520488,SETD CAMARA,SETD CAMARA,14991,14991,CAMARA,CAMARA,5,1,20231239;20231260;20231267;20231288;934211239,934211239
CAM005,CAM013,18520488,18520488,SETD CAMARA,SETD CAMARA,14991,14991,CAMARA,CAMARA,5,1,20673323;20673337;20673344;20673407;25723438,25723438
CAM017,STS004,18520488,18521136,SETD CAMARA,SETD SANTISSIMO,14991,15042,CAMARA,SANTISSIMO AEREO,5,1,20719040;20767464;20802742;20802798;504682415,504682415
CCD70145,PDD29513,1186,1231,SETD CASCADURA,SETD PIEDADE,15034,14998,CASCADURA AEREO,PIEDADE,5,1,1603720;1603734;1628367;706079609;707573967,707573967
CCD724,CCD910,1186,1186,SETD CASCADURA,SETD CASCADURA,15034,15034,CASCADURA AEREO,CASCADURA AEREO,5,1,1554221;1554242;1582818;1582874;679461188,679461188
CEN004,CEN005,18520353,18520353,SETD CENTENARIO,SETD CENTENARIO,15074,15089,CENTENARIO AEREO AT/MT,CENTENARIO AEREO MT/MT,5,1,20815030;29772281;362198962;491538927;491538937,491538937
CMS012,CMS015,18520839,18520839,SETD COSMOS,SETD COSMOS,16897,16897,COSMOS,COSMOS,5,1,20690109;20746637;528531328;743415984;758165817,743415984
CRM0005,NIG009,280389625,18519976,SETD CARMARI,SETD NOVA IGUACU,15691,15692,CARMARI,NOVA IGUACU,5,1,20737436;20803582;20803589;744837327;744837336,744837327
CSO004,CSO005,18520821,18520821,SETD COMENDADOR SOARES,SETD COMENDADOR SOARES,15048,15048,COMENDADOR SOARES,COMENDADOR SOARES,5,1,1012198911;20661112;20661119;20661126;20748534,1012198911
CUR33326,CUR33332,10386042,10386042,SETD CURICICA,SETD CURICICA,16901,16901,CURICICA AEREO,CURICICA AEREO,5,1,11053956;11053963;11053977;11053984;932205992,932205992
CXS004,WLS00014,18520785,18519994,SETD CAXIAS,SETD WASHINGTON LUIS,15700,15073,CAXIAS AEREO,WASHINGTON LUIS AEREO,5,1,20697676;20697704;20697767;465757363;705792019,705792019
FTL010,FTL014,18521064,18521064,SETD FONTINELE,SETD FONTINELE,15007,15007,FONTINELE,FONTINELE,5,1,20700497;20726418;20726439;455030895;732784043,732784043
GDL29721,GDL29750,1258,1258,SETD GUADALUPE,SETD GUADALUPE,15036,15036,GUADALUPE AEREO,GUADALUPE AEREO,5,1,1581915;1581950;1581985;1582013;750921924,750921924
GDN0012,GDN0013,457474244,457474244,SETD GARDENIA,SETD GARDENIA,16903,16903,GARDENIA,GARDENIA,5,1,10916398;11102872;133457666;732990172;803141226,732990172
JAB00016,JAB00023,18520749,18520749,SETD JABOATAO,SETD JABOATAO,15029,15029,JABOATAO AEREO,JABOATAO AEREO,5,1,134918192;20713286;516641293;550615373;925563166,925563166
JAB00021,JAB008,18520749,18520749,SETD JABOATAO,SETD JABOATAO,15029,15029,JABOATAO AEREO,JABOATAO AEREO,5,1,132328408;138601864;20733201;451308005;705895033,705895033
JAB004,JAB012,18520749,18520749,SETD JABOATAO,SETD JABOATAO,15029,15029,JABOATAO AEREO,JABOATAO AEREO,5,1,20713664;20781208;20781229;502432385;998990573,998990573
JDB625,JDB814,10385880,10385880,SETD JARDIM BOTANICO,SETD JARDIM BOTANICO,15071,15071,JARDIM BOTANICO AEREO,JARDIM BOTANICO AEREO,5,1,11135153;11240392;11240413;454811914;467191572,454811914
LPD29145,LPD29168,10386033,10386033,SETD LEOPOLDO,SETD LEOPOLDO,15030,15030,LEOPOLDO AEREO,LEOPOLDO AEREO,5,1,1006290632;11007991;11008082;11076393;986087144,986087144
MNB002,MNB006,18520902,18520902,SETD MENA BARRETO,SETD MENA BARRETO,14994,15057,PAVUNA,MENA BARRETO AEREO,5,1,20650088;20711690;20711718;20781950;20788078,20650088
MTC001,MTC012,1276,1276,SETD MATURACA,SETD MATURACA,15031,15031,MATURACA AEREO,MATURACA AEREO,5,1,1583301;1611077;1611168;1611707;990939343,990939343
RTO003,RTO009,18520875,18520875,SETD RETIRO,SETD RETIRO,14995,14995,RETIRO,RETIRO,5,1,20233234;20661385;20695163;626516182;626516191,626516182
RTO010,RTO013,18520875,18520875,SETD RETIRO,SETD RETIRO,14995,14995,RETIRO,RETIRO,5,1,20719558;20719572;20719656;20719663;658296237,658296237
SRP001,SRP011,18520803,18520803,SETD SARAPUI,SETD SARAPUI,15000,15000,SARAPUI,SARAPUI,5,1,20696157;20696185;462485288;475814120;583202623,583202623
TQR00003,TQR33826,10385871,10385871,SETD TAQUARA,SETD TAQUARA,15023,15023,TAQUARA AEREO,TAQUARA AEREO,5,1,11074356;11093832;132311795;164013739;823151303,823151303
TQR0009,TQR60088,10385871,10385871,SETD TAQUARA,SETD TAQUARA,15023,15023,TAQUARA AEREO,TAQUARA AEREO,5,1,11039723;11052892;270363159;477506104;477506123,477506123
TQR33842,TQR33859,10385871,10385871,SETD TAQUARA,SETD TAQUARA,15023,15023,TAQUARA AEREO,TAQUARA AEREO,5,1,11053410;11056721;134213391;475384504;627838701,627838701
TRS002,TRS006,18520326,18520326,SETD TRES RIOS,SETD TRES RIOS,15087,15087,TRES RIOS AEREO AT/MT,TRES RIOS AEREO AT/MT,5,1,1010889241;159642351;538510682;659202016;747688542,747688542
